k2_campaigns_num,disc_year,ra,dec,glon,glat,elon,elat,pl_orbper,pl_orbsmax,pl_orbincl,pl_eqt,pl_trandep,pl_tranmid,pl_trandur,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,sy_kepmag,x,y,z,pl_radj,pl_rade,pl_ratror,pl_ratdor,pl_imppar,st_teff,st_met,st_logg,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,k2_name
1.0,2022.0,354.6499065,-7.4788816,78.2799,-63.84131,352.11819,-4.74071,15.398723,0.066835,88.6971,809.0,0.1357,2457739.6737,2.7888,14.9287,14.7425,12.6612,13.0854,11.159,11.209,11.065,8.997,13.3491,12.6795,12.2338,12.719,0.9871735231191922,-0.092447899589325,-0.1301607510502445,0.16504623,1.85,0.016,24.32,0.711,5726.0,-0.238,4.314,0.841,1.739007,1.058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8997693,28.4782,-4.91821,2.42975,406.985,13.491,12.922,11.603,11.259,11.238,K2-392 b
1.0,2019.0,51.5489144,18.0665887,166.97946,-31.26626,53.75199,-0.66606,10.0696,0.066835,88.6971,809.0,0.0395,2457071.2654,3.096,15.8173,12.7664,16.2518,13.0097,10.604,10.673,10.685,8.499,13.6619,12.6821,12.0797,12.736,0.591187232837268,0.7445279991033577,0.3101220957644982,0.151,1.69,0.019,21.9,0.41,5293.0,-0.01,4.4905,0.88,1.739007,0.816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4944627,24.381,-19.9366,4.54433,218.685,13.841,13.006,11.231,10.775,10.679,EPIC 210678858.03
2.0,2018.0,132.1698795,20.4550162,205.82396,34.58078,129.01842,2.54522,8.438756,0.075,88.6971,660.0,0.1357,2457142.48782,2.7888,15.8639,13.372,13.172,13.3841,9.642,9.722,9.654,7.99,14.7216,11.8139,11.1983,11.753,-0.6290015190011484,0.6944252989677943,0.3494718776206998,0.20876082,2.34,0.0296,26.78,0.35,4812.0,0.0,4.61,0.79,1.739007,0.73,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.3822333,-4.87171,-15.6411,8.07267,123.438,13.085,11.974,10.364,9.861,9.749,K2-275 c
1.0,2019.0,239.2255102,-25.4738433,347.34849,20.99655,242.37401,-4.93749,0.7099504,0.066835,88.6971,809.0,1.6512,2456894.83267,2.172,15.8639,13.372,13.172,13.3841,10.799,10.811,10.828,8.146,14.7216,12.3351,11.8903,12.304,-0.4619176357794295,-0.7756590392469576,-0.4300990032427752,7.0,80.0,0.357,2.482,0.41,5293.0,-0.01,4.4905,0.88,1.739007,2.065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4242236,-7.12763,-15.8997,1.43147,685.821,12.452,12.611,11.18,10.946,10.847,EPIC 203633064.01
1.0,2016.0,175.9080328,6.5637842,261.7932,63.87857,173.63262,4.39767,2.65662719,0.066835,88.6971,809.0,1.459,2456818.248569,3.025,15.8639,13.372,13.172,13.3841,8.643,8.705,8.679,8.403,14.7216,10.6241,10.15,10.247,-0.9909127236537096,0.0708898700284198,0.1143092315980671,0.23142158,2.6,0.030504999999999997,17.9,0.41,5634.18,0.118,4.4905,0.88,1.739007,0.8640925,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0214432,-77.2399,11.0156,7.0197,141.887,11.428,10.72,9.275,8.925,8.733,WASP-85 A b
2.0,2017.0,132.0098683,16.9017663,209.76527,33.18605,129.82019,-0.91975,7.7285,0.066835,88.6971,809.0,0.1233,2457141.0984,2.904,17.8786,14.4407,14.8483,13.9304,12.119,12.174,12.179,8.791,15.4882,14.5103,13.8223,14.489,-0.6403497135817958,0.710934124107627,0.2907316898706323,0.193,2.16,0.0337,18.4,0.41,5293.0,-0.01,4.4905,0.88,1.739007,0.589,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4882237,30.032,-22.4376,2.70677,365.581,15.974,14.818,12.841,12.265,12.174,K2-119 b
1.0,2015.0,172.3353708,-1.4551364,264.98752,55.25008,173.53343,-4.37792,24.645013,0.066835,88.6971,809.0,0.0916,2456812.28,3.61,15.7198,11.6746,10.9702,12.8219,8.443,8.424,8.322,8.251,13.021,11.4785,10.5459,11.574,-0.9907461221888278,0.1333313782410959,-0.0253941911493556,0.16950665,1.9,0.02858,17.9,0.59,3927.0,-0.01,4.4905,0.88,1.739007,0.58,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,122.2623054,94.0337,-78.1392,22.661,44.0727,13.527,12.168,9.421,8.805,8.561,K2-3 c
1.0,2015.0,331.203092,-12.019067,45.74798,-48.18707,328.99173,-0.20871,0.78957,0.066835,88.6971,1992.0,0.1357,2456981.3436,2.7888,15.8639,13.372,13.172,13.3841,10.165,10.236,10.172,8.745,14.7216,11.7889,11.29,11.762,0.8571220250728134,-0.4711465877966272,-0.2082371891441929,0.15969338,1.79,0.030504999999999997,17.9,0.41,5476.0,0.37,4.27,1.01,1.739007,1.144,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.9557276,15.0235,-41.3086,3.74964,264.78,12.736,11.936,10.613,10.31,10.192,WASP-47 e
1.0,2018.0,133.6422031,25.4182681,200.48794,37.38076,128.97265,7.68998,3.37433,0.066835,88.6971,809.0,2.3276,2458095.71953,6.12,16.967,14.1519,13.831,13.6505,11.898,11.936,11.337,8.882,14.9742,14.2673,13.616,14.179,-0.623344936308933,0.6536119608325404,0.4292231296594513,0.23142158,2.6,0.030504999999999997,17.9,0.41,4708.0,-0.01,4.4905,0.88,1.739007,3.77637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8504143,-2.94368,-7.27762,0.5118,1829.54,15.534,14.565,12.666,12.071,11.987,EPIC 251411166.01
1.0,2018.0,65.469614,21.3532633,174.74941,-19.71256,67.24824,-0.16969,13.853487,0.066835,88.9,809.0,0.1357,2457994.66467,2.7888,16.2529,12.4368,11.8768,13.262,9.435,9.404,9.343,8.317,13.7327,12.2528,11.4529,12.656,0.3866752561712488,0.8472903378703952,0.3641171921461146,0.23142158,2.6,0.0339,30.0,0.41,3919.0,-0.42,4.732,0.54,5.41,0.526,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.7913175,200.606,-76.7629,13.7077,72.7998,14.073,12.773,10.274,9.686,9.496,K2-155 c
