tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
318022259,1730.01,TOI-1730.01,1730,318022259.01,1,PC,10.3595,0.007,-0.007,1,0,07h11m27.8s,107.865826,,,,+48d19m40.56s,48.327933,,,,-93.076,0.091,-0.091,1.0,0.0,-570.552,0.082,-0.082,1.0,0.0,2459952.635271,0.002443,-0.002443,1,0,6.2262315,2.77e-05,-2.77e-05,1,0,2.239,0.772,-0.772,1,0,1488.0,1544.12,-1544.12,1,0,2.75524,0.963981,-0.963981,1,0,114.271,,,,,910.0,,,,,35.6917,0.0833,-0.0833,1,0,3691.0,157.0,-157.0,1,0,4.70931,0.0091437,-0.0091437,1,0,0.53,0.02,-0.02,1,0,,2020-02-19 23:47:13,2024-07-17 12:02:46,2025-09-28 22:48:44
31258738,4680.01,TOI-4680.01,4680,31258738.01,1,PC,13.1744,0.007,-0.007,1,0,05h28m37.69s,82.157034,,,,-27d01m54.08s,-27.031688,,,,4.856,0.023,-0.023,1.0,0.0,12.214,0.027,-0.027,1.0,0.0,2459173.504974,0.005259,-0.005259,1,0,17.4314043,0.0001512,-0.0001512,1,0,4.06,0.323,-0.323,1,0,8180.0,8.88644,-8.88644,1,0,9.8169,,,1,0,43.2591,,,,,714.0,,,,,671.413,6.7035,-6.7035,1,0,5923.0,122.0,-122.0,1,0,4.4,,,1,0,1.08,,,1,0,,2021-12-21 00:33:51,2024-08-22 10:08:01,2025-09-28 22:48:44
317362389,4917.01,TOI-4917.01,4917,317362389.01,1,PC,11.1646,0.006,-0.006,1,0,13h34m55.69s,203.73203,,,,-64d49m48.21s,-64.830059,,,,-8.615,0.04,-0.04,1.0,0.0,-5.091,0.043,-0.043,1.0,0.0,2459356.533298,0.003139,-0.003139,1,0,4.7738904,0.0011662,-0.0011662,1,0,3.304,0.244,-0.244,1,0,9170.0,12.0249,-12.0249,1,0,13.3725,0.790627,-0.790627,1,0,597.141,,,,,1377.0,,,,,364.963,4.4185,-4.4185,1,0,6681.0,129.3,-129.3,1,0,4.33,0.09,-0.09,1,0,1.35,0.06,-0.06,1,0,,2021-12-21 22:37:53,2024-08-22 10:08:01,2025-09-28 22:48:44
65412605,626.01,TOI-626.01,626,65412605.01,1,CP,9.50712,0.006,-0.006,1,0,07h12m29.55s,108.123114,,,,-24d57m12.82s,-24.95356,,,,-2.276,0.06,-0.06,1.0,0.0,0.338,0.075,-0.075,1.0,0.0,2459980.873931,0.0003,-0.0003,1,0,4.4010465,1.4e-06,-1.4e-06,1,0,4.757,0.04,-0.04,1,0,6903.0,41.169,-41.169,1,0,19.7441,0.66082,-0.66082,1,0,3731.9,,,,,2177.0,,,,,437.215,8.357,-8.357,1,0,8489.0,178.9,-178.9,1,0,4.03,0.08,-0.08,1,0,2.32,0.08,-0.08,1,0,,2019-04-23 16:01:54,2023-03-28 16:02:02,2025-09-28 22:48:44
235905185,1829.01,TOI-1829.01,1829,235905185.01,1,PC,12.8784,0.008,-0.008,1,0,19h23m30.58s,290.877426,,,,+78d45m15.18s,78.754217,,,,-1.13,0.019,-0.019,1.0,0.0,4.933,0.02,-0.02,1.0,0.0,2459775.884516,0.001282,-0.001282,1,0,6.2895835,3.4e-06,-3.4e-06,1,0,3.044,0.054,-0.054,1,0,24300.0,1.75643,-1.75643,1,0,15.9901,0.838556,-0.838556,1,0,124.221,,,,,930.0,,,,,479.529,2.4965,-2.4965,1,0,5565.0,123.891,-123.891,1,0,4.41544,0.0754182,-0.0754182,1,0,1.02,0.05,-0.05,1,0,,2020-05-07 18:04:46,2022-10-05 10:10:01,2025-09-28 22:48:44
162130054,1371.01,TOI-1371.01,1371,162130054.01,1,APC,9.948,0.008,-0.008,1,0,22h04m28.25s,331.117705,,,,+31d01m07.56s,31.018767,,,,4.53,0.057,-0.057,1.0,0.0,-1.516,0.07,-0.07,1.0,0.0,2459848.525293,0.002681,-0.002681,1,0,5.0095595,1.85e-05,-1.85e-05,1,0,3.353,0.595,-0.595,1,0,8700.0,9179.31,-9179.31,1,0,36.2553,4.94011,-4.94011,1,0,2088.59,,,,,1883.0,,,,,302.295,3.712,-3.712,1,0,6527.0,154.1,-154.1,1,0,4.11,0.09,-0.09,1,0,1.75,0.07,-0.07,1,0,,2019-10-30 21:47:36,2022-12-05 16:02:02,2025-09-28 22:48:44
253054954,6892.01,TOI-6892.01,6892,253054954.01,1,PC,13.0658,0.007,-0.007,1,0,11h53m28.65s,178.369356,,,,+47d58m17.3s,47.971471,,,,5.321,0.019,-0.019,1.0,0.0,-4.474,0.025,-0.025,1.0,0.0,2459616.90412,0.004627,-0.004627,1,0,17.8961832,0.0066957,-0.0066957,1,0,5.8302347,0.4521538,-0.4521538,1,0,6620.0097774,430.088,-430.088,1,0,11.0501866,0.8397296,-0.8397296,1,0,91.586263,,,,,789.0006014,,,,,720.54,11.225,-11.225,1,0,5767.33,30.3263,-30.3263,1,0,4.22267,,,1,0,1.30053,,,1,0,,2024-02-01 21:37:10,2024-05-11 12:03:03,2025-09-28 22:48:44
392476080,2109.01,TOI-2109.01,2109,392476080.01,1,CP,9.78569,0.006,-0.006,1,0,16h52m44.71s,253.186297,,,,+16d34m47.69s,16.579915,,,,-8.449,0.043,-0.043,1.0,0.0,-9.257,0.051,-0.051,1.0,0.0,2458984.38888,0.00042,-0.00042,1,0,0.67249,2e-05,-2e-05,1,0,1.801,0.125,-0.125,1,0,7890.0,2.01878,-2.01878,1,0,15.7288,0.739851,-0.739851,1,0,14429.0,,,,,3053.0,,,,,262.041,2.7255,-2.7255,1,0,6647.0,135.1,-135.1,1,0,4.12,0.09,-0.09,1,0,1.7,0.07,-0.07,1,0,,2020-07-28 21:38:56,2023-05-11 12:03:14,2025-09-28 22:48:44
27966179,330.01,TOI-330.01,330,27966179.01,1,PC,12.8696,0.006,-0.006,1,0,23h55m00.4s,358.751682,,,,-22d32m20.07s,-22.538908,,,,25.159,0.045,-0.045,1.0,0.0,-36.495,0.036,-0.036,1.0,0.0,2459091.763748,0.000445,-0.000445,1,0,4.2794669,3.1e-06,-3.1e-06,1,0,2.4641339,0.0788265,-0.0788265,1,0,17011.2798568,296.66782,-296.66782,1,0,9.0099926,0.874558,-0.874558,1,0,74.8950024,,,,,750.296567,,,,,200.326,1.5575,-1.5575,1,0,4314.0,123.7,-123.7,1,0,4.57,0.1,-0.1,1,0,0.703041,0.061892,-0.061892,1,0,,2018-12-20 19:43:30,2024-04-25 10:08:01,2025-09-28 22:48:44
122596693,4435.01,TOI-4435.01,4435,122596693.01,1,KP,14.6147,0.007,-0.007,1,0,19h22m19.62s,290.581743,,,,+40d34m38.32s,40.577311,,,,1.317,0.056,-0.056,1.0,0.0,-15.867,0.059,-0.059,1.0,0.0,2459420.667731,0.003409,-0.003409,1,0,3.5256535,1.59e-05,-1.59e-05,1,0,2.5111799,0.1392208,-0.1392208,1,0,23882.7029386,846.8462,-846.8462,1,0,12.1210086,0.631191,-0.631191,1,0,189.762184,,,,,946.6123519,,,,,686.284,15.431,-15.431,1,0,5003.05,263.03,-263.03,1,0,4.56877,,,1,0,0.783768,,,1,0,,2021-09-09 19:53:44,2023-03-15 16:02:02,2025-09-28 22:48:44
